Item,Brand,Unit of Measurement,Cost,Unit Cost
Light Brown Sugar ,Dominoes,Ounces,$3.39,$0.11
Flour,Gold Medal,Ounces,$3.19,$0.10
Chocolate Chips (Semi Sweet),Nestle,Ounces,$3.99,$0.33
Unsalted Butter,Land O'Lakes,Ounces,$5.79,$0.36
Eggs,Grade A,Count,$7.29,$0.41
Baking Soda,Arm & Hammer,Ounces,$1.25,$0.08
Baking Powder,Great Value,Ounces,$1.98,$0.24
Salt,Morton,Ounces,$3.89,$0.08
Corn Starch,Argo,Ounces,$2.44,$0.15
